Name,CBSAA,Pop2010,Pop2011,Pop2012,Pop2013,Pop2014,Pop2015,Pop2016,Pop2017,Pop2018,Pop2019,Income2010,Income2011,Income2012,Income2013,Income2014,Income2015,Income2016,Income2017,Income2018,Income2019,Home2010,Home2011,Home2012,Home2013,Home2014,Home2015,Home2016,Home2017,Home2018,Home2019
"Aberdeen, WA ",10140,72797,72546,71692,71078,70818,71122,71628,72697,73901,75061,40019,40993,42057,41315,43356,44122,49623,47445,48255,61026,162200,149500,154500,156300,169700,157400,151800,169200,193300,220600
"Abilene, TX ",10180,165252,165858,167800,168144,166900,168922,170860,169747,174006,171795,40630,40659,43407,44149,44303,47420,48016,51130,48021,54808,90900,81900,94600,86800,98900,107400,101100,114500,119500,133500
"Adrian, MI ",10300,99892,99440,98987,99188,99047,98573,98504,98623,98266,98451,45563,44509,48224,45938,46739,48279,51918,56515,55378,53865,118000,116100,109600,108900,119100,123600,136300,141800,141800,144300
"Aguadilla-Isabela-San Sebastián, PR ",10380,306292,304633,304727,327847,322079,313209,309764,306000,292919,288877,14313,14951,15339,15323,15886,14485,14546,16645,17064,16311,97400,111100,119600,97400,105900,99600,97600,96500,95000,93700
"Akron, OH ",10420,703200,701456,702262,705686,703825,704243,702221,703505,704845,703479,46521,47032,49731,49984,50538,51580,51598,56106,60019,57158,145000,139800,131800,136600,134700,146300,144200,146800,155500,157200
"Albany, GA ",10500,157308,161617,155019,156277,152596,156997,152506,151754,151158,147384,34002,32775,34469,34756,39071,40143,40667,43614,44896,40625,98400,103800,107300,104300,104400,110200,109600,115900,111900,125600
"Albany-Lebanon, OR ",10540,116672,118122,118360,118765,119356,120547,122849,125047,127335,129749,42900,42565,43489,45130,43428,47527,51310,51541,54113,61488,180600,169900,166700,173800,167400,176300,190700,216100,254300,257200
"Albany-Schenectady-Troy, NY ",10580,870716,871478,874646,877905,880167,881830,881839,886188,883169,880381,55796,58617,60625,59626,62265,63080,65855,68681,71301,73398,199000,197300,197000,195600,196900,201000,210600,216400,217200,227000
"Albertville, AL ",10700,93019,94166,94776,94760,94636,94725,95157,95548,96109,96774,39343,39245,36197,38116,33446,40525,42362,41476,47528,49467,110100,121400,113000,117100,106400,122800,121700,121600,136200,135600
"Albuquerque, NM ",10740,887077,899149,902794,901932,905213,906209,913924,913113,916791,914480,47383,45027,46725,48355,47581,48937,50954,50906,51134,58512,183300,176800,175600,176900,173700,181800,183600,191700,201400,206000
"Alexandria, LA ",10780,153922,154505,154441,154753,154872,154484,154789,153984,153044,152037,40017,35692,40896,39960,40209,42778,42136,40585,47391,50553,113900,110500,118100,119500,120700,134800,130200,139700,143300,138100
"Allentown-Bethlehem-Easton, PA-NJ ",10900,821173,824916,827171,827048,829835,832327,835652,840550,842913,844052,55630,54169,55766,56543,60320,60671,63022,63944,65929,70793,218700,208100,196400,197300,195900,203500,207400,213400,218900,224900
"Altoona, PA ",11020,127089,127099,127121,126314,125955,125593,124650,123457,122492,121829,42990,43136,41258,42164,44019,45432,43443,45957,49942,51004,105400,105700,105300,115200,112500,114800,114700,129600,128500,133600
"Amarillo, TX ",11100,249881,254635,254579,259164,261752,263258,263491,266575,268356,269447,46390,47350,46434,49207,51280,51734,54478,53922,53087,53510,114900,118100,118000,122900,121800,127800,135700,139900,148200,156300
"Ames, IA ",11180,89542,89663,91140,92406,94073,96021,97090,97502,98105,123351,48034,45866,49489,50279,46091,50811,53371,60351,54586,62181,159000,160500,165800,158100,167000,177400,173800,200300,191300,185800
"Anchorage, AK ",11260,380821,387516,392535,396142,398892,399790,402557,400888,399148,396317,71490,71700,71494,76831,75682,78238,82203,76871,81037,80676,261800,264300,266700,275100,272700,283000,299700,298100,299500,300100
"Ann Arbor, MI ",11460,344791,347962,350946,354240,356874,358880,364709,367627,370963,367601,55880,56612,56330,59660,62845,61977,65601,70286,71860,76576,190600,196200,191000,207500,212400,234200,244700,258700,280500,295300
