NAME,LAT,LONG
"Abilene, TX, USA",32.439893,-99.740303
"Akron, OH, USA",41.078597,-81.538184
"Albany, GA, USA",31.580711,-84.17833
"Lebanon, OR, USA",44.537703,-122.904672
"Troy, NY, USA",42.718569,-73.677087
"Albuquerque, NM, USA",35.128683,-106.579128
"Alexandria, LA, USA",31.292315,-92.458548
"Allentown, PA, USA",40.598583,-75.468316
"Altoona, PA, USA",40.514373,-78.398592
"Amarillo, TX, USA",35.221849,-101.840963
"Anchorage, AK, USA",61.195429,-149.358257
"Ann Arbor, MI, USA",42.279731,-83.736923
"Oxford, AL, USA",33.602381,-85.860061
"Appleton, WI, USA",44.265929,-88.394699
"Asheville, NC, USA",35.589294,-82.554791
"Athens, GA, USA",33.95759,-83.358855
"Atlanta, GA, USA",33.769805,-84.414581
"Atlantic City, NJ, USA",39.377054,-74.451984
"Opelika, AL, USA",32.647748,-85.38661
"Augusta-Richmond County, GA, USA",33.411269,-82.03151
"Augusta, ME, USA",44.33272,-69.731956
"Austin, TX, USA",30.222346,-97.836521
"Kern, CA, USA",35.369763,-118.969794
"Towson, MD, USA",39.39251,-76.619043
"Bangor, ME, USA",44.82774,-68.798952
"Barnstable Town, MA, USA",41.673986,-70.359327
"Baton Rouge, LA, USA",30.46297,-91.14273
"Battle Creek, MI, USA",42.279225,-85.231742
"Bay City, MI, USA",43.591539,-83.893566
"Beaumont, TX, USA",30.084818,-94.145006
"Beckley, WV, USA",37.775028,-81.183823
"Bellingham, WA, USA",48.764218,-122.468178
"Bend, OR, USA",44.051656,-121.30426
"Billings, MT, USA",45.774972,-108.55997
"Binghamton, NY, USA",42.097974,-75.916989
"Hoover, AL, USA",33.347753,-86.84461
"Bismarck, ND, USA",46.811025,-100.783777
"Christiansburg, VA, USA",37.130072,-80.401691
"Bloomington, IL, USA",40.477162,-88.95616
"Bloomington, IN, USA",39.207854,-86.520118
"South Bluefield, Bluefield, WV, USA",37.251903,-81.241445
"Boise City, ID, USA",43.580397,-116.207517
"Boston, MA, USA",42.355492,-71.048611
"Boulder, CO, USA",40.016412,-105.259703
"Bowling Green, KY, USA",36.984763,-86.448058
"Bozeman, MT, USA",45.673769,-111.042923
"Silverdale, WA, USA",47.667926,-122.678531
"Bridgeport, CT, USA",41.188221,-73.187335
"Harlingen, TX, USA",26.189818,-97.687767
"Brunswick, GA, USA",31.14589,-81.478364
"Cheektowaga, NY, USA",42.900771,-78.755756
"Burlington, NC, USA",36.083216,-79.452385
"Burlington, VT, USA",44.481922,-73.227342
"Massillon, OH, USA",40.787039,-81.525494
"Courtyard Fort Myers Cape Coral, Fort Myers, FL, USA",26.598316,-81.849804
"Cedar Rapids, IA, USA",41.963724,-91.670525
"Waynesboro, PA, USA",39.754085,-77.584103
"Urbana, IL, USA",40.099844,-88.195524
"Charleston, WV, USA",38.347262,-81.630631
"Hampton Inn Charleston-North, Dorchester, SC, USA",32.936684,-80.050002
"Charlotte, NC, USA",35.19534,-80.81711
"Charlottesville, VA, USA",38.036141,-78.482369
"Chattanooga, TN, USA",35.091981,-85.234979
"Chicago, IL, USA",41.821842,-87.671697
"Chico, CA, USA",39.760544,-121.824908
"Cincinnati, OH, USA",39.14767,-84.543959
"Clarksville, TN, USA",36.575216,-87.333526
"Cleveland, TN, USA",35.188605,-84.869715
"Elyria, OH, USA",41.378791,-82.101091
"Coeur D'Alene, ID, USA",47.69867,-116.784028
"College Station, TX, USA",30.589787,-96.294573
"Colorado Springs, CO, USA",38.875356,-104.813228
"Columbia, MO, USA",38.945483,-92.32928
"Columbia, SC, USA",34.044165,-80.846323
"Columbus, GA, USA",32.497799,-84.87392
"Columbus, OH, USA",39.98072,-82.985586
"Concord, NH, USA",43.231657,-71.559509
"Cookeville, TN, USA",36.156923,-85.500647
"Corpus Christi, TX, USA",27.734637,-97.313642
"Crestview, FL, USA",30.759069,-86.570212
"Dallas, TX, USA",32.736212,-96.784359
"Dalton, GA, USA",34.772734,-84.971675
"Danville, VA, USA",36.579561,-79.390752
"Foley, AL, USA",30.400636,-87.680302
"Davenport, IA, USA",41.557574,-90.606945
"Dayton, OH, USA",39.760983,-84.198952
"Decatur, AL, USA",34.575717,-86.990658
"Decatur, IL, USA",39.847342,-88.965109
"Deltona, FL, USA",28.911849,-81.223659
"Denver, CO, USA",39.740959,-104.985798
"Des Moines, IA, USA",41.574349,-93.61043
"Dearborn, MI, USA",42.305765,-83.226264
"Dothan, AL, USA",31.228421,-85.405308
"Dover, DE, USA",39.166217,-75.526182
"Duluth, MN, USA",46.796199,-92.13366
New Caledonia,-21.097317,165.127202
"East Stroudsburg, PA, USA",40.999432,-75.177611
"Eau Claire, WI, USA",44.820639,-91.501773
"El Centro, CA, USA",32.787341,-115.561149
"El Paso, TX, USA",31.818409,-106.488793
"Fort Knox, KY, USA",37.896313,-85.946387
"Elkhart, IN, USA",41.682182,-85.967494
"Erie, PA, USA",42.118688,-80.072076
"Springfield, OR, USA",44.053533,-122.98254
"Evansville, IN, USA",37.982237,-87.535497
"Fargo, ND, USA",46.860607,-96.823234
"Farmington, NM, USA",36.76239,-108.179549
"Fayetteville, NC, USA",35.089222,-79.020171
"Fayetteville, AR, USA",36.072575,-94.157671
"Flagstaff, AZ, USA",35.190767,-111.573928
"Flint, MI, USA",43.025186,-83.686897
"Florence, SC, USA",34.182369,-79.786461
"Muscle Shoals, AL, USA",34.740716,-87.637902
"Fond du Lac, WI, USA",43.781487,-88.448892
"Fort Collins, CO, USA",40.542844,-105.06543
"South Fort Smith, Fort Smith, AR, USA",35.327492,-94.405786
"Fort Wayne, IN, USA",41.113201,-85.128679
"Fresno, CA, USA",36.75156,-119.800612
"Gadsden, AL, USA",34.026797,-86.031373
"Gainesville, FL, USA",29.668066,-82.347233
"Gainesville, GA, USA",34.305517,-83.828869
"Gettysburg, PA, USA",39.830704,-77.234826
"Glens Falls, NY, USA",43.312748,-73.652096
"Goldsboro, NC, USA",35.377173,-77.984091
"Grand Junction, CO, USA",39.091798,-108.554491
"Grand Rapids, MI, USA",42.966709,-85.661973
"Greeley, CO, USA",40.411237,-104.771307
"Green Bay, WI, USA",44.517447,-87.954553
"Greensboro, NC, USA",36.093163,-79.84426
"Greenville, NC, USA",35.598855,-77.379097
"Greenville, SC, USA",34.846404,-82.382065
"Biloxi, MS, USA",30.431961,-88.961588
"Hagerstown, MD, USA",39.644106,-77.722476
"Hammond, LA, USA",30.501623,-90.46711
"Corcoran, CA, USA",36.097359,-119.565895
"Carlisle, PA, USA",40.19852,-77.197341
"Harrisonburg, VA, USA",38.43773,-78.870289
"Hartford, CT, USA",41.765834,-72.690253
"Hattiesburg, MS, USA",31.302297,-89.309991
"Morganton, NC, USA",35.741394,-81.682607
"Hilo, HI, USA",19.698059,-155.076152
"Hilton Head Hospital, Hilton Head Island, SC, USA",32.223714,-80.713932
"Holland, MI, USA",42.826564,-86.083532
"Homosassa Springs, FL, USA",28.83349,-82.554202
"Kaneohe, HI, USA",21.40572,-157.789396
"Houma, LA, USA",29.584505,-90.690407
"Houston, TX, USA",29.784753,-95.361416
"Huntington, WV, USA",38.413815,-82.428601
"Huntsville, AL, USA",34.756007,-86.616034
"Idaho Falls, ID, USA",43.492904,-112.035234
"Anderson, IN, USA",40.083496,-85.681289
"Iowa City, IA, USA",41.65748,-91.51939
"Ithaca, NY, USA",42.443386,-76.505499
"Jackson, MI, USA",42.2474,-84.40386
"Jackson, MS, USA",32.30835,-90.229913
"Jackson, TN, USA",35.65243,-88.836381
"Jacksonville, FL, USA",30.369914,-81.660992
"Jacksonville, NC, USA",34.738215,-77.419369
"Fredonia, NY, USA",42.440616,-79.331989
"Beloit, WI, USA",42.510674,-89.033751
"Jefferson City, MO, USA",38.563747,-92.184208
"Johnson City, TN, USA",36.322173,-82.360934
