NAME,CBSAA,Y,X
"Abilene, TX ",10180,32.439893,-99.740303
"Akron, OH ",10420,41.078597,-81.538184
"Albany, GA ",10500,31.580711,-84.17833
"Albany-Lebanon, OR ",10540,44.537703,-122.904672
"Albany-Schenectady-Troy, NY ",10580,42.718569,-73.677087
"Albuquerque, NM ",10740,35.128683,-106.579128
"Alexandria, LA ",10780,31.292315,-92.458548
"Allentown-Bethlehem-Easton, PA-NJ ",10900,40.598583,-75.468316
"Altoona, PA ",11020,40.514373,-78.398592
"Amarillo, TX ",11100,35.221849,-101.840963
"Anchorage, AK ",11260,61.195429,-149.358257
"Ann Arbor, MI ",11460,42.279731,-83.736923
"Anniston-Oxford, AL ",11500,33.602381,-85.860061
"Appleton, WI ",11540,44.265929,-88.394699
"Asheville, NC ",11700,35.589294,-82.554791
"Athens-Clarke County, GA ",12020,33.95759,-83.358855
"Atlanta-Sandy Springs-Alpharetta, GA ",12060,33.769805,-84.414581
"Atlantic City-Hammonton, NJ ",12100,39.377054,-74.451984
"Auburn-Opelika, AL ",12220,32.647748,-85.38661
"Augusta-Richmond County, GA-SC ",12260,33.411269,-82.03151
"Augusta-Waterville, ME ",12300,44.33272,-69.731956
"Austin-Round Rock-Georgetown, TX ",12420,30.222346,-97.836521
"Bakersfield, CA ",12540,35.369763,-118.969794
"Baltimore-Columbia-Towson, MD ",12580,39.39251,-76.619043
"Bangor, ME ",12620,44.82774,-68.798952
"Barnstable Town, MA ",12700,41.673986,-70.359327
"Baton Rouge, LA ",12940,30.46297,-91.14273
"Battle Creek, MI ",12980,42.279225,-85.231742
"Bay City, MI ",13020,43.591539,-83.893566
"Beaumont-Port Arthur, TX ",13140,30.084818,-94.145006
"Beckley, WV ",13220,37.775028,-81.183823
"Bellingham, WA ",13380,48.764218,-122.468178
"Bend, OR ",13460,44.051656,-121.30426
"Billings, MT ",13740,45.774972,-108.55997
"Binghamton, NY ",13780,42.097974,-75.916989
"Birmingham-Hoover, AL ",13820,33.347753,-86.84461
"Bismarck, ND ",13900,46.811025,-100.783777
"Blacksburg-Christiansburg, VA ",13980,37.130072,-80.401691
"Bloomington, IL ",14060,40.477162,-88.95616
